,east,north,vertical,e_std,n_std,v_std
2006-01-02,0.06025049723979237,1.6270850988345273,-9.432906126493208,0.6880000000000001,0.8849999999999998,2.742
2006-01-03,-0.5321093561986459,1.9284763030302656,-8.535083662826764,0.7,0.892,2.773
2006-01-04,-1.1701378808797926,2.1157591247243204,-10.211319452910516,0.7070000000000001,0.8859999999999999,2.79
2006-01-05,0.03850438068184303,-0.7432795248316779,-8.143920756743796,0.695,0.8849999999999998,2.7239999999999998
2006-01-06,-3.2809827152493085,-0.3019512568876621,-10.836920974327086,0.6900000000000001,0.8849999999999998,2.716
2006-01-07,-1.5802320311877338,-0.3692183601937131,-7.880422389410569,0.7110000000000001,0.8939999999999998,2.807
2006-01-08,-0.8178644533688271,0.687824626502163,-9.262922520743814,0.71,0.892,2.748
2006-01-09,-1.53410577680728,2.500933930696135,-4.87907717332746,0.7040000000000001,0.8869999999999998,2.745
2006-01-10,-0.30241895523840867,1.3665329048901071,-7.051792895911035,0.7110000000000001,0.898,2.7960000000000003
2006-01-11,0.14956415882318197,2.466604639084096,0.3196144252558497,0.695,0.895,2.8160000000000003
2006-01-12,0.22957661164207366,2.471223592028082,-13.640514971077664,0.6970000000000001,0.889,2.734
2006-01-13,1.1376017094536337,1.6633405849739802,-1.133519609910877,0.7,0.892,2.779
2006-01-14,0.03468775852252293,1.000371202917961,-12.817092139994315,0.6920000000000001,0.893,2.769
2006-01-15,1.131419323834109,0.6207410383619276,-9.80940012882786,0.691,0.892,2.772
2006-01-16,-1.632813085847033,-0.6867916899440729,-6.972485805161568,0.6880000000000001,0.8759999999999999,2.7060000000000004
2006-01-17,-0.7549975505281736,0.9918508917498912,-1.3983472314947676,0.708,0.898,2.772
2006-01-18,-1.5665681277165504,2.0112465359439398,-8.634094830328195,0.7040000000000001,0.903,2.8800000000000003
2006-01-19,0.7445588001023111,2.035233373889696,-8.17496545791164,0.691,0.902,2.813
2006-01-20,0.39682925291384663,2.15048074433372,-10.428745695494513,0.6799999999999999,0.8990000000000001,2.757
2006-01-21,-0.25530042926720853,1.5128266622776891,-9.403015081828357,0.6779999999999999,0.8939999999999998,2.729
2006-01-22,-1.0515094977056378,1.7391137664717462,-10.898775369411737,0.669,0.8810000000000001,2.675
2006-01-23,-1.4013159086368319,1.5792521319156663,-9.002952238245143,0.6819999999999999,0.905,2.783
2006-01-24,-0.7843141770752027,0.8433723723615003,-12.560012723328668,0.696,0.92,2.8160000000000003
