,east,north,vertical,e_std,n_std,v_std
2008-05-29,-0.6142263475493337,0.7172118121472977,1.0880681731077289,0.7140000000000001,1.008,3.3360000000000003
2008-05-30,1.00646214206472,-0.6451140680542267,2.6836551127980215,0.7170000000000001,1.002,3.345
2008-05-31,2.1114231116790734,-0.19908662075590655,-0.9082727675115052,0.7150000000000001,1.0070000000000001,3.33
2008-06-01,0.7065231262934049,0.8545596002918501,-3.2942481278212767,0.7070000000000001,1.004,3.3060000000000005
2008-06-02,2.161476865906934,0.15701762509013406,-7.183415744380909,0.713,0.998,3.317
2008-06-03,0.8686880092717502,2.043883926139074,2.403230179059449,0.721,1.042,3.39
2008-06-04,0.6109660613855112,0.1539279259365003,2.134530321249713,0.728,1.01,3.403
2008-06-05,1.1590182022500812,-0.763975019265331,-4.235807715309761,0.718,1.031,3.3520000000000003
2008-06-06,2.2236775731140597,3.28602480928339,-7.547944153119545,0.73,1.015,3.412
2008-06-07,-1.6013759247720145,0.35229237158080196,4.126965187820701,0.753,1.031,3.4729999999999994
2008-06-08,-0.8274207589074649,1.6296729213792105,-12.425620731238894,0.743,1.027,3.444
2008-06-09,1.2808982094567227,0.7655954286778979,-0.6810112215485447,0.735,1.034,3.406
2008-06-10,0.710186296570896,1.9706876284765258,-3.066555914358105,0.7200000000000001,1.017,3.398
2008-06-11,-0.43430073381477996,-0.4451343417260887,-0.39583060591786534,0.7170000000000001,1.003,3.35
2008-06-12,0.5960715482993919,1.040442761822078,1.9734171875224433,0.73,1.011,3.4130000000000003
2008-06-13,2.9671246879133832,1.3588986978709272,1.0580062359628073,0.713,0.99,3.312
2008-06-14,2.1161576750280346,1.7798754164183492,-2.2553472905968874,0.7390000000000001,1.0279999999999998,3.4200000000000004
2008-06-15,2.438960480892092,1.7074419599671273,-9.438437034656488,0.7440000000000001,1.038,3.444
2008-06-16,3.2854720280059837,-1.2664608027346276,-5.589269814966201,0.721,1.0070000000000001,3.387
2008-06-17,2.4406604326201204,0.46744345581294056,-2.30874272902588,0.7140000000000001,1.013,3.3520000000000003
2008-06-18,3.431809488484191,-0.1312206431384766,-0.5016715655854682,0.721,1.008,3.3930000000000002
2008-06-19,1.6310061430986025,1.5948262941599296,3.489521637854864,0.732,0.9990000000000001,3.3710000000000004
2008-06-20,0.9897661164628744,1.8266339464578323,0.5696741237952097,0.7170000000000001,0.995,3.3590000000000004
2008-06-21,2.275180626076917,2.4906656462560477,-0.21307562651446688,0.73,1.025,3.405
2008-06-22,2.122134824440991,1.71034360355452,-7.28000071557409,0.731,1.018,3.415
2008-06-23,3.3763344965558417,0.31610587710224536,3.0764565978662404,0.721,1.011,3.364
2008-06-24,3.855045109919729,-0.6935161130995766,0.15381864130648637,0.7140000000000001,1.009,3.3400000000000003
2008-06-25,2.8616383520342197,-0.1695901008013152,3.1992276747469077,0.718,1.011,3.338
2008-06-26,0.5706808991479875,0.5193633452465747,0.4205915681872625,0.738,1.021,3.4330000000000003
2008-06-27,1.5116165525123506,-2.5101479912052582,-8.869312323372469,0.723,1.026,3.3480000000000003
2008-06-28,1.8814296783765485,-1.9965557976562422,-2.504008747432067,0.7240000000000001,1.018,3.362
2008-06-29,-1.596788597009322,0.5624505533911588,-9.704426083991791,0.74,1.041,3.466
2008-06-30,-0.1704532623950854,-0.2747015018105685,-2.96403471805138,0.7140000000000001,1.001,3.3510000000000004
2008-07-01,0.33444193596915284,-1.100046199512235,0.5548056291389116,0.723,1.002,3.405
