,east,north,vertical,e_std,n_std,v_std
2006-01-02,-1.5164770755546328,1.1740042634493193,-8.588041428010001,0.7070000000000001,0.8960000000000002,2.841
2006-01-03,-1.661180814044883,1.8089733675365096,-10.840416775570588,0.718,0.9,2.886
2006-01-04,-1.4825185587778833,1.7996829903744356,-11.507415715631396,0.7160000000000001,0.8960000000000002,2.9010000000000002
2006-01-05,-1.2351393097682148,1.267477376962347,-4.661849606942042,0.713,0.902,2.867
2006-01-06,-4.121659667001211,0.22029701105066124,-8.787505185753048,0.705,0.895,2.84
2006-01-07,-2.359593831734287,-0.14289026111134717,-0.7658985820636417,0.726,0.901,2.9360000000000004
2006-01-08,-1.192586187724487,1.6210695617255624,-8.227334359624138,0.7340000000000001,0.903,2.8800000000000003
2006-01-09,-3.1920873674573613,1.7944980670635005,-1.1183418746853704,0.721,0.905,2.8739999999999997
2006-01-10,-1.6211759271977826,1.2089194811513835,-5.793399312246265,0.723,0.9,2.897
2006-01-11,-2.069840316930822,2.305057135239281,-4.858556953556786,0.705,0.895,2.8489999999999998
2006-01-12,-1.5049626654138706,2.8060472305763824,-10.683292393617762,0.718,0.8939999999999998,2.884
2006-01-13,-1.3697509514041144,2.557140225914509,-2.654548488678188,0.7160000000000001,0.8960000000000002,2.8739999999999997
2006-01-14,-1.0663559511370977,1.1956463237522712,-6.656561876239152,0.7070000000000001,0.8909999999999999,2.852
2006-01-15,-0.32586405212754244,0.5501891253403528,-6.170682857549423,0.706,0.903,2.865
2006-01-16,-2.88214351186042,-0.33378410432169403,-5.904658410110528,0.713,0.898,2.877
2006-01-17,-2.498669812843275,0.6152062772655427,-2.5241810014216526,0.721,0.92,2.9130000000000003
2006-01-18,-2.1223651613336756,0.050889433853853916,-5.8901636639817525,0.7140000000000001,0.923,3.014
2006-01-19,0.6644823514333211,2.485584899191849,-9.049150605292766,0.7070000000000001,0.915,2.949
2006-01-20,-0.9652878895569756,2.059413343279516,-8.525476686603497,0.695,0.915,2.902
2006-01-21,-2.3422810192901693,1.5453837098673375,-6.554669942914302,0.693,0.893,2.81
2006-01-22,-1.028251907772983,1.5105438514548268,-9.736830199225437,0.6880000000000001,0.903,2.822
2006-01-23,1.3421891574867004,1.9704135642925849,-8.186157403035736,0.6980000000000001,0.897,2.83
2006-01-24,-1.0180322847463117,1.2242356358804045,-9.9241234005965,0.7170000000000001,0.92,2.926
2006-01-25,-1.4806631944867377,-0.3493249050313807,-1.0322570706571241,0.6759999999999999,0.865,2.73
2006-01-26,0.5168695295304246,0.8159624203059366,-5.443214310717963,0.67,0.865,2.7239999999999998
2006-01-27,-0.717657391452633,1.4674377968937051,-7.035244535779043,0.6719999999999999,0.865,2.741
2006-01-28,-1.6469689861929169,1.1938599422318248,-2.071478118339428,0.6769999999999999,0.867,2.753
2006-01-29,-0.43576094467590565,-0.8635433786803333,-3.6095864071504593,0.6809999999999999,0.8720000000000001,2.815
2006-01-30,-1.7246641644161969,1.7758856904077902,-0.8012937997110612,0.6799999999999999,0.877,2.802
2006-01-31,0.6821800983506705,0.2518558219945817,-7.577782534771586,0.67,0.868,2.766
2006-02-01,-0.310563008882184,1.0986043523326998,-7.361593599832986,0.6829999999999999,0.8820000000000002,2.838
2006-02-02,-2.1130195811225576,1.7221275664206814,-0.12800702989329693,0.67,0.8690000000000001,2.75
2006-02-03,-5.145094705855513,0.9023069855086305,-8.698741682453942,0.6769999999999999,0.867,2.779
2006-02-04,-4.000602996845771,0.6010766920966262,-10.386116632514813,0.6900000000000001,0.8960000000000002,2.89
2006-02-05,-1.3524199665787933,-1.3064056775663175,-2.177398277575662,0.674,0.8730000000000001,2.797
2006-02-06,-0.45562871381179093,-0.2643438609781015,-4.703237725136432,0.6719999999999999,0.8710000000000001,2.78
2006-02-07,-1.4947578323020707,1.1504219493599521,-5.381856571447429,0.6779999999999999,0.884,2.82
2006-02-08,0.44115800546489936,0.9969555646977142,-6.547324530258038,0.6709999999999999,0.8740000000000001,2.7960000000000003
2006-02-09,-0.892162149275407,0.19539861878456577,-1.2634865565685232,0.6819999999999999,0.901,2.882
2006-02-10,-1.5355345852584605,0.4985196453727667,-3.753591839129399,0.696,0.927,2.938
2006-02-11,-0.1949667262414323,-2.240336471789533,-4.24707612169027,0.6729999999999999,0.875,2.814
2006-02-12,-1.639534602231663,0.1262302472985084,-7.379299269251078,0.665,0.875,2.7880000000000003
2006-02-13,-0.8362278957146714,-0.14725816361340094,-6.110639799312025,0.664,0.877,2.7880000000000003
2006-02-14,-0.4925629017049573,-1.1435509295262136,2.6735091193775133,0.669,0.8710000000000001,2.797
2006-02-15,1.120314109812,-0.0519828491884482,-1.3377036394330162,0.6769999999999999,0.8789999999999999,2.843
2006-02-16,1.972758265078994,0.8056491323998216,-4.955164509494125,0.6719999999999999,0.8789999999999999,2.841
2006-02-17,-0.22856307216130745,0.7971193814877324,-3.548558385804654,0.67,0.8740000000000001,2.805
2006-02-18,1.586462336855675,1.91898789057484,-0.3354135746155862,0.665,0.883,2.825
2006-02-19,0.042802447115320774,-1.7562034303369956,0.6742481240738698,0.675,0.8820000000000002,2.845
2006-02-20,-0.9804439651176153,0.3826015350008447,0.9842609715127537,0.6729999999999999,0.8789999999999999,2.8360000000000003
2006-02-21,-0.47846268360058275,0.016959401589019762,-0.7011830172975806,0.662,0.867,2.763
2006-02-22,-0.5974063558408602,0.9048760894268071,-4.9535137948582815,0.6669999999999999,0.8690000000000001,2.798
2006-02-23,0.8899949906760867,0.8853191335138035,-3.7582358311693724,0.669,0.875,2.813
2006-02-24,0.7943919796858268,0.8169472626018432,-5.1885928649803645,0.6719999999999999,0.88,2.82
2006-02-25,0.6688401912028326,0.017894571689794248,-2.9063898125410788,0.6779999999999999,0.8789999999999999,2.834
2006-02-26,-1.2440712022802245,1.2058823120278248,,0.684,0.8939999999999998,
2006-02-27,-2.310991288270486,1.5753319823660377,-2.289621541412316,0.684,0.902,2.928
2006-02-28,-2.00660566050351,-0.7680726960468292,-2.699145995223148,0.6920000000000001,0.905,2.91
2006-03-01,-1.3745571452438412,-1.0745152732091583,0.20838956221632543,0.7030000000000001,0.927,2.9589999999999996
2006-03-02,-0.05309768122680225,0.847089148379041,-1.8455291528443922,0.6729999999999999,0.883,2.83
2006-03-03,-1.1928426584598242,-1.1847301600332685,0.058792417094537086,0.6779999999999999,0.905,2.9170000000000003
